Id,Pop_2018,Elder_rate,Unemp_rate,Pop_Chg_Rate_2000-2018,Fac_Soc,Fac_Comm,Fac_Trans,Urban(ha),Indust(ha),For(ha),Weig_ Deg,Clos_cent
Celle,0.4355458556580767,0.1113492916869219,1.000807211217139,-0.5738158344595767,0.2054352238702438,0.2750524311527934,-0.3833116538629122,0.6415210413746067,2.408144152770043,1.436619458157072,-1.128036585930146,0.4802707935505198
Cuxhaven,0.7919314112287864,1.0064262902472,0.0984400535623417,-0.8301647417393444,0.6609891951050552,1.499449708291149,0.015539661643091,0.822850329395232,0.4397036027941422,-0.754431626174738,-0.6152926832346254,-1.627114983329754
Winsen (Luhe) Harburg,1.776359881883895,-0.4068531811637639,-1.074637251388894,1.38544169866457,2.321363537631933,1.364529898138162,0.8132422926550975,1.774829092292517,0.2147389693801198,-0.111590861173155,0.2050975610782085,0.4802707935505198
Lüchow-Dannenberg,-1.968010781976881,2.18415918308967,2.173884516168374,-1.686003862475957,-1.263126920241977,-1.505889062866632,-1.181014284874919,-1.866867442253213,-1.528736945661118,0.2559494437370796,-1.845878049703876,-1.627114983329754
Lüneburg,0.5123302073599579,-1.443258126865137,0.2789134850933013,1.714605033539772,0.9067485743238348,0.5921139850123124,1.724902442383105,0.1277547255791678,-0.1227079824305148,0.1963483130115669,1.025487805391042,0.0841422212928796
Osterholz,-0.7746278717528269,0.1113492916869219,-1.525820830216293,0.3061736857214452,-1.011373409822739,-1.053907698854126,-0.0414390977149093,-0.7184486183855844,-0.9663253602675004,-1.157448794647218,1.025487805391042,-0.5949194964216311
Rotenburg (Wümme),0.1519450828215795,-0.9721649697281493,-0.9844005356234148,0.092626358859279,-0.0103534993462458,-0.4096656053736146,-0.8961204880849163,0.8984041992723256,0.1584978101818136,-0.1896399608624446,0.0,0.9230027272502368
Soltau-Fallingbostel,-0.2955274305289424,-0.3597438654500661,0.3691502008587806,-0.3049518811373869,-0.166200910558155,0.7506447619420719,1.781881201741105,-0.0384637883082385,0.7209093954064706,2.024116315898196,1.025487805391042,1.985544589050873
Stade,0.8617303406322968,-0.8308370225870542,0.0984400535623417,0.7715864289108526,0.0555819438587926,0.4369562033363776,-0.0414390977149093,0.2637516915946375,-0.0102256657235037,-1.146096198322065,-0.4101951221564169,0.0841422212928796
Uelzen,-1.149905400557917,1.0064262902472,0.2789134850933013,-1.18129504877954,-1.179209083435565,-1.337239300175399,-1.237993044232919,-1.111328742298773,-1.022566518789966,0.5326689781937366,1.435682927547459,0.0841422212928796
Verden,-0.3417712947680255,-0.4068531811637639,-0.7136903883269758,0.3057981628958861,-0.5198546513851796,-0.6120453206030948,-0.5542479319369136,-0.7940024882626782,-0.2914314576599918,-1.086495067818029,-0.7178414637737296,-0.2723661041996555
