Id,Pop_2018,Elder_Rate,Dev_Ind_2004,Pop_Chg_2008-2018_per1000,Fac_Soc,Fac_Comm,Fac_Trans,Fac_Rec_Att,Urban(ha),Indust(ha),Dist_to_Tekirdag,Weig_Deg,Eigen_Cent
Babaeski,-0.2360728699334301,0.2093201515180703,0.0037355080396975,-0.4017909147202152,-0.3362369640838266,-0.4746444498374768,-0.370763374955851,-0.6715618542445516,0.9898137287138874,0.1301604557105115,-0.2758817853168526,1.459034612869616,1.416256562186881
Cerkezkoy,1.513308640823043,-1.905088283328632,1.578895366830779,1.117308289454975,2.542618364766127,2.835071405768652,2.641689046560439,1.124300182948744,-0.3600692254992978,1.444567682265809,-0.2209195983558827,0.4168670322484617,-0.0209842978614829
Corlu,2.932828648617995,-1.438536050676722,2.469785346080065,0.9612566998241354,1.025383799561422,0.2333617770061023,1.065944702998072,0.9922515037433544,0.4414237782083573,1.683550813375605,-0.7765401150314045,1.250601096745385,0.0444979755035368
Demirkoy,-0.8167177677332906,0.0365230283136595,-0.5858541907675502,0.1667057516478069,-0.8030783687621974,-0.3552217127795237,-0.6488359061727392,-0.6187423825623959,-1.456849125711969,-0.8257720720957258,0.8919329072069968,-1.042167580621154,-1.220242200662655
Edirne,1.713338429270662,-0.8745890758550532,1.474269433688193,1.420253178346732,1.997970059308028,0.1565900174688467,1.34401723421496,1.229939126313055,1.158549098275674,1.205584549552654,1.254912929614973,0.8337340644969234,1.001921022624281
Enez,-0.7902254194775231,0.9005086443357146,0.1044824920497128,0.2519020717487349,-0.8030783687621974,-0.6367181644161275,-0.6951813280422207,-0.6187423825623959,-1.161562229435064,-0.7660262891098402,1.504113263707085,-1.250601096745385,-1.384953601681794
Ergene,-0.028226878347328,-1.037960901430133,-0.787570115004976,0.1327622972326317,0.247314791764137,0.1395296264605677,0.6951813280422207,0.0943204851467067,0.1883207250062323,3.4161785207359,-0.9386886856208494,0.4168670322484617,0.6411449742005865
Havsa,-0.6711206680610471,0.6648762036024269,-0.5841630957778731,-0.8860266926670318,-0.8030783687621974,-0.628187968911988,-0.5561450624337765,-0.6979715900856295,-0.4444369102801912,-0.1685684592189167,0.5127217055858513,1.250601096745385,0.6765009766602277
Hayrabolu,-0.4762327296931871,0.1621936633714132,-0.6260705434908095,-1.069571495916016,-0.6085611168128763,-0.6367181644161275,-0.6488359061727392,-0.5395131750391623,0.357056093427464,-0.2880600250944865,-1.138106420952145,-0.0521083790310577,1.219684027390998
Ipsala,-0.5447759553253708,0.177902492753632,-0.969447381144752,-0.7255103104832138,-0.8419818191520616,-0.645248359920267,-0.6951813280422207,-0.6715618542445516,0.1883207250062323,-0.8257720720957258,0.4631909481302184,-0.5210837903105772,-0.8856852102427397
Kapakli,0.7759111927468654,-1.804551775282429,-0.787570115004976,0.1327622972326317,1.453321753849928,3.261581180975628,1.483053499823404,1.282758597995211,-0.4022530673194667,-0.1685684592189167,-0.171230954137203,-0.2084335161242309,0.2026722120798463
